"X","rating","location","text"
184,5,"us"," Need help pls Is thr a way to move the mail box .also, how do we do fishing ..is thr a way to do fishing pls help pls."
185,5,"gb"," Live it Love it"
186,3,"gb"," Hmmmm Okk but become real repetitive after 5 mins"
187,5,"gb"," ***AWESOME GAME*** Really good game, good controls with plenty of action. Only down point, the upgrade for tech and weapons take agesssss!!!!  Sort it out lads!! Can't wait for the next one:):):)"
188,5,"au"," :) Great game"
189,5,"nz"," Next Update Ideas You guy should lower prices to every thing in the game and WOULD YOU PLEASE LOWER THE UPGRADE TIME IT TAKES UP MY TIME WHEN I WANNA DO THINGS IN GAME!! Plus and more upgrades, troops and land expansion 
That would be cool. For the troops you should add stuff like a Witch Queen and a Wizard King. Also add stuff like hounds, wolves (I think), battle lions and battle tigers. Also add more defence stuff like dual cannons, x-bow like defence that shoots every 0.80s and lightning cannons that would be awesome. Please do some of these things but mainly do the ones I said at top and it would just make the game great so when my friend starts a war I can have my upgrades finished and have new things. Please do these thing.
Thx"
190,5,"nz"," Sick Awesome game love playing it"
191,3,"au"," Very addictive game This game is very addictive, however the prices to unlock the another player are absolutely a rip off!"
192,1,"gb"," Game under maintenance On the game you say that the maintenance should be finished in an hour & to follow the steps you say to relaunch the game. Well we did that & still can not get on the game. You need to Fix the problem ASAP, People Pay Money To Play This Game!"
193,4,"gb"," Fun Addicting, unique."
194,5,"us"," Level 35 If I could give it ten stars I would. Great game!"
195,5,"gb"," Awesome Love the game play it online everyday but can't play it on my iPad at the mo as they need to update it and allow us to play Pacific bay please update the app"
196,5,"gb"," Gd Gd game lots to do"
197,5,"us"," Better than the web version!! I'm addicted to this game! I played the web version, but I feel this one is better. You get unlimited water and the animals don't need to be fed at a specific time. However, the web version lets you buy animals without limits, nor you need keys (or cash in the web version)."
198,5,"gb"," Great Great game!!"
199,5,"us"," Wow This is a lot of fun!!"
200,4,"au"," Good new game Just started it but enjoying none the less"
201,5,"us"," Love it!! It's a really fun game, and very addicting! :)"
202,4,"au"," Great game. Need more gem opportunities It's a great game. Gets harder to select and drag things when it's busy. Needs bugs fixed.
Gems are harder to come by after the first burger joint is complete"
203,5,"us"," Bee's I love this game so addicting!!! I recommend you try it."
204,4,"gb"," Interesting game A good way to pass the time."
205,4,"au"," Wow I love this app!

I've just started and I love how you can become famous, what a amazing idea."
206,5,"nz"," Angry birds Sweet"
207,1,"us"," CRRRRRRAASSSSSHHHHHHHHHHHH!!!!!! Fun idea, but crashes or sticks constantly.  PLEASE FIX THESE BUGS BEFORE WE HAVE TO ELPHABA YOU."
208,2,"nz"," Teacher NZ Not sure what's going on.  Used to get daily bonus...  Then the link now wants me to connect to FB...  But doing that resets whole game!!  Not happy when you get to level 235.... Restarted again...  Made progress, but daily bonus not appear...  Now third time restart, had daily bonus...  But now it wants to connect to FB....  That's not happening"
209,5,"gb"," Simply entertaining A great Facebook game.  Simple, fun and interactive.  A game to share with everyone."
210,5,"nz"," Do it Little bit badass. Funny animation, cool story, easy to pick up. Do it"
211,5,"au"," Good Good"
212,4,"gb"," Great game It's a simple but fun game, good gameplay and heroes/characters. 
But sometimes randomly closes app and has random lag spikes, other than that great! <3"
213,1,"us"," Need to fix a lot of things A lot of stuff needs to be fixed on this app. Absolutely horrible."
214,2,"au"," Just 12345 Ok"
215,5,"us"," Awesome The best game ever!!! Love it!!"
216,2,"gb"," Update Just updated and have lost all my coins <f0><U+009F><U+0098><U+00A2>"
217,5,"gb"," Brill Best game ever"
218,5,"us"," Amazinggggg!! I want to be a cook when I get older and this is a wonderful game. It challenges me and its really funny when the customers get mad."
219,5,"us"," Awesome game I love this game love detective work"
220,5,"us"," Love it I am so hooked, I can't stop playing"
221,2,"gb"," Hay Day AXES AXES WHERE ARE THEY Where are all the axes hay day your not making this a pleasant game to play anymore im fed up now NO AXES and don't say find them in the paper as there aren't any !!!!!! What a con thus game is becoming..... <f0><U+009F><U+0098><U+00A1>"
222,5,"au"," Loads of fun Fantastic and fun for everyone"
223,5,"gb"," subway surferss im in love with this game! its great for when your traveling as it doesnt require wifi! the only downer to me is that there is in app purchases which dont particularly need to be there, but other than that 5/5"
224,3,"nz"," Ok Ok as a time filler"
225,5,"au"," Awesome game Been playing since 2012, love it but gosh it gets so expensive to upgrade things. Guess that's the thrill of the challenge hey."
226,5,"gb"," Addictive Very addictive will give you hours of fun."
227,5,"us"," AMAZING!!!! but... This is an awesome game don't get me wrong but the on thing I REALLY want is more than 3 outfits for each person. I mean there are some good ones but some others are <f0><U+009F><U+0098><U+0091><f0><U+009F><U+0091><U+008E>. So can you add more than 3 outfits please? Also can you and a REALLY REALLY REALLY REALLY REALLY good one for Olivia? Beacuse I already have her one costume which is AMAZING but I would like others please thank you!!!"
228,5,"us"," Fun I like it."
229,1,"us"," No good I liked part of your update on October 31st. But having the animals take a week to produce is stupid. At least a day or better yet 6 hours and use water and food to shorten it to 30 min."
230,5,"gb"," Very well made :D I've played a lot of these type of games but this has to be the best one!  it doesn't force you to buy in app purchases as much as other games. Graphics pretty good and it is a good time passer, I do recommend this :)"
